Tweet_Time_EST,Tweet_Content
2022-02-22 21:03:15,🩳
2022-02-16 09:13:07,God Bless Gmerica 🏴‍☠️
2022-02-11 16:47:45,The reverberations of fiscal and monetary policy are likely to be more severe to humans than any climate or societal disaster 💀
2022-02-09 22:02:51,Who will be the piñata for all this inflation? 🤨
2022-02-08 08:04:47,The 21st century ☎️ https://t.co/OKrVCw0x4t
2022-01-28 18:23:59,Anyone going to the movies tonight? 🍿 https://t.co/CrelM6x5xx
2022-01-27 20:04:41,Why waste money on college when Wikipedia is free…https://t.co/2IEXrgyEaT
2022-01-11 10:02:46,Happy Anniversary 💩
2022-01-03 18:21:35,Never overestimate a man who underestimates himself
2021-12-27 14:36:12,Taking a dump in the metaverse. https://t.co/sAb5W4ZBbx
2021-12-17 12:54:02,💩
2021-12-13 07:02:32,https://t.co/fQgYB3oi9s
2021-12-13 05:02:54,I miss you https://t.co/jNDVgjWMGa
2021-12-10 14:55:44,I’m cooler online than in real life
2021-11-29 22:08:23,Only interested in speaking with candidates who want to actually WORK…
2021-11-21 21:42:42,Bedtime stories by Dr. Ruth 🐱 https://t.co/6xrE9P2YKv
2021-11-15 01:08:21,eew eew llams a evah I
2021-11-08 21:45:14,Deciding between two options for my GME shares: HOLD or HODL…
2021-10-31 12:04:39,MGGA
2021-10-26 21:40:50,https://t.co/zl9t8enDoM
2021-10-10 23:45:09,Florida ☀️👍 https://t.co/BOwWDCyOOs
2021-09-26 15:24:48,"Talk is cheap, it takes money to buy whiskey."
2021-08-27 21:49:11,Time for pillow fights and 60s music 🎶
2021-08-19 20:45:59,https://t.co/SJBwxpbuEw
2021-08-11 19:53:53,https://t.co/wMPIjtTT78
2021-08-06 18:01:26,https://t.co/97kcQKLCGc
2021-07-29 22:51:18,🥸 https://t.co/F0gjFtRHFU
2021-07-28 11:52:51,Power to the Players 🇺🇸 🇨🇦 https://t.co/9anKj2J4qK
2021-07-23 21:53:44,"Can’t stop, won’t stop. https://t.co/ZXuiKywIbK"
2021-07-19 22:48:19,PG-13 https://t.co/B2hRaF1yFr
2021-07-09 21:22:36,https://t.co/aopqt3oMh4
2021-07-08 15:50:21,I ❤️ this https://t.co/E7vPOqe3UC
2021-07-04 13:23:53,Power to the Players 🇺🇸
2021-06-30 20:41:48,Brick By Brick 🧱
2021-06-23 23:02:17,https://t.co/X5t4f8u5JG
2021-06-20 14:21:17,https://t.co/sMVqxdne0R
2021-06-03 12:39:58,💀 https://t.co/kUbiQXA748
2021-05-31 20:41:26,God bless 🇺🇸
2021-05-28 21:41:50,https://t.co/dcJU5CrDXM
2021-05-25 00:32:04,Don’t try this at home https://t.co/198rbMA4CG
2021-05-19 12:02:27,❤️
2021-05-17 22:38:15,"“Ryan, I love you but I don’t like you” (My Grandma) https://t.co/XhuidFeBci"
2021-05-12 21:13:46,"Arlington, VA @GameStop 👍 https://t.co/MHd5eWmqXS"
2021-05-08 18:32:32,RT @KelliLamberD: Check it out 🍦🍦🐻👀https://t.co/qqDHwKdT9U
2021-04-29 13:35:22,https://t.co/Syh3hTnRBF
2021-04-25 21:02:16,😲 https://t.co/UXO9v6Pku0
2021-04-24 12:11:28,https://t.co/WfJE1Hmbfh
2021-04-20 17:15:06,https://t.co/fdU9liPjdN
2021-04-16 19:44:22,👊
2021-04-13 00:40:47,"Culver City, CA @GameStop 👍 https://t.co/BoVyYkTfYk"
2021-04-08 13:36:25,no filter https://t.co/i7kyTHwtpA
2021-03-25 14:56:26,https://t.co/gEJY8ePQ91
2021-03-17 15:36:29,Superman lives forever 🙏 https://t.co/m2Z7rnNAj1
2021-03-11 17:18:05,https://t.co/Kg1tlSUsig
2021-03-04 14:19:00,🤢 https://t.co/4aNscJZMW8
2021-02-24 13:57:37,🐸 https://t.co/ZAjoViGUmj
2021-01-17 13:49:40,🥜 https://t.co/7M57IXZbhH
2021-01-06 17:15:09,💩 https://t.co/O8TBotQ6tT
2020-12-31 11:52:13,Breaking News. https://t.co/c1H9T0q6Fz
2020-12-09 15:51:33,😳 https://t.co/hcp4kNNMbz
2020-11-21 19:37:05,RT @CNBC: Former Chewy CEO tries to push GameStop to become the Amazon of the video-game industry https://t.co/yKXnHfMla0
2020-08-16 14:25:39,"RT @zackafriedman: My latest in @Forbes, an interview with @Chewy co-founder, Ryan Cohen. Great insights on being an #Entrepreneur and how…"
2020-08-04 14:22:03,RT @CNBCMakeIt: Founder of multibillion-dollar company Chewy: This is the side hustle I'd start now to make extra money https://t.co/v2bXpo…
2020-07-20 22:33:30,@andrew__reed Thank you!
2020-05-04 12:46:16,RT @Entrepreneur: The Secret Weapon Behind @Chewy Founder @ryancohen's Success https://t.co/7WeOQRyKCw
2020-01-26 13:23:01,"Ryan Cohen Started A Company That Took On Amazon, And Sold It For $3 Billion. Now He’s Thinking About What’s Next https://t.co/WEtLyYRxBr via @forbes"
2020-01-02 10:44:54,"RT @HarvardBiz: “When I think back to why raising the money to help grow the business was one of the best moments of my life, I realize it’…"
2019-11-30 18:14:57,RT @businessinsider: The cofounder of Chewy explains how he created a $10.2 billion empire selling pet food to millennials who treat their…
2019-07-02 16:25:11,Hello Twitter! #myfirstTweet
